店舗名,郵便番号,住所,電話番号,FAX番号,ホームページURL,メールアドレス,座席数,個室情報
"海鮮・地どり 志な乃亭 野田阪神店","553-0007","大阪府大阪市福島区大開1-14-19","050-5799-2816","06-6991-1794","http://www.shinanotei.jp","info@shinanotei.jp","148席 座敷席あり 掘りごたつ席あり カウンター席あり カップルシートあり 夜景が見える","掘りごたつ個室あり（16名～20名様用） 掘りごたつ個室あり（10名～12名様用） 掘りごたつ個室あり（35名～42名様用） 掘りごたつ個室あり（55名～70名様用） テーブル個室あり（2名様用） ※個室の詳細はお店にお問い合わせください"
"地酒 旬の料理 居酒屋 おかだ 梅田本店","530-0003","大阪府大阪市北区堂島2-2-35","050-5788-4131","","http://www.izakaya-okada-osaka.com/","","37席 座敷席あり カウンター席あり","座敷個室あり（10名～20名様用） ※個室の詳細はお店にお問い合わせください"
"串焼屋 サカトリーナ","530-0027","大阪府大阪市北区堂山町8-21 石本ビル1F","050-5798-5348","","","","32席 カウンター席あり","テーブル個室あり（6名～8名様用） テーブル個室あり（4名～6名様用） ※個室の詳細はお店にお問い合わせください"
"魚民 阪急梅田茶屋町口駅前店","530-0013","大阪府大阪市北区茶屋町3-2 チロル茶屋町ビル6・7F","06-6375-8388","","http://www.monteroza.co.jp/","","138席 座敷席あり 掘りごたつ席あり","掘りごたつ個室あり（～14名様用） ※個室の詳細はお店にお問い合わせください"
"鶏家 六角鶏 野田阪神店","552-0007","大阪府大阪市福島区大開1-15-30","050-5786-5274","","","","36席 カウンター席あり",""
"炭火焼鳥専門店 播鳥 北新地本店","530-0002","大阪府大阪市北区曽根崎新地1-2-26","050-5797-9156","","http://www.banchou.co.jp/","","64席 掘りごたつ席あり",""
"和膳和酒 油屋","531-0071","大阪府大阪市北区中津3-5-5","050-5787-6189","","","","70席 座敷席あり カウンター席あり","座敷個室あり（1室/30名～50名様用） ※個室の詳細はお店にお問い合わせください"
"天串と海鮮の店 はれ天","553-0003","大阪府大阪市福島区福島2-4-6","050-5785-5276","","","","38席 掘りごたつ席あり カウンター席あり","掘りごたつ個室あり（2名～4名様用） ※個室の詳細はお店にお問い合わせください"
"貸切宴会場 本陣 お初天神店","530-0057","大阪府大阪市北区曽根崎2-10-18","06-6312-3751","","","","300席 座敷席あり 掘りごたつ席あり カウンター席あり カップルシートあり ソファー席あり 円卓あり","座敷個室あり（4名～35名様用/扉・壁あり） 座敷個室あり（4名～50名様用/扉・壁あり） 座敷個室あり（2名～100名様用） 掘りごたつ個室あり（15名～30名様用/パーティション仕切り） テーブル個室あり（10名～16名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"山内農場 福島駅前店","553-0003","大阪府大阪市福島区福島5-14-12 プラザ2 2F","06-6454-5988","","http://www.monteroza.co.jp/","","78席",""
"魚のすすめ","553-0003","大阪府大阪市福島区福島1-4-4 セントラル70 1F","06-6451-6668","","","","40席 座敷席あり 掘りごたつ席あり","掘りごたつ個室あり（2名～4名様用） ※個室の詳細はお店にお問い合わせください"
"新世界もつ鍋屋直営 福島店","553-0003","大阪府大阪市福島区福島1-7-10","050-5522-5890","06-6652-6622","http://www.shin-sekai.jp","","70席 座敷席あり",""
"Korean Kitchen Bar WONGA","530-0057","大阪府大阪市北区曽根崎2-11-19 サンプラザ曽根崎2 3F","050-5787-9072","","","","22席 カウンター席あり",""
"北新地 へちもんや","530-0002","大阪府大阪市北区曽根崎新地1-5-21 松木興産ビル2F","050-5788-3127","","","","40席 掘りごたつ席あり カウンター席あり ソファー席あり","掘りごたつ個室あり（1室/6名～12名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"神戸吉兆 リーガロイヤルホテル店","530-0005","大阪府大阪市北区中之島5-3-68 リーガロイヤルホテル内B1","06-6448-3168","","","","100席","テーブル個室あり（8名～10名様用） テーブル個室あり（12名～16名様用） テーブル個室あり（15名～20名様用） テーブル個室あり（2名～6名様用） ※個室の詳細はお店にお問い合わせください"
"きんくら酒場 金の蔵 茶屋町店","530-0013","大阪府大阪市北区茶屋町2-16 イースクエア茶屋町4F(旧百叉ビル)","050-5788-8691","","http://sankofoods.com/","","194席 座敷席あり 掘りごたつ席あり","テーブル個室あり（2名～6名様用） ※個室の詳細はお店にお問い合わせください"
"すみび焼肉 Da－Wa","553-0003","大阪府大阪市福島区福島7-22-17 BRAVI福島1F","050-5798-0920","","http://www.da-wa.com/","info@da-wa.com","40席 カウンター席あり","テーブル個室あり（4名～10名様用） ※個室の詳細はお店にお問い合わせください"
"鉄板串ト酒 串イッカ","553-0003","大阪府大阪市福島区福島7-13-7 福島北館ビル1F","050-5788-7781","","","","30席 カウンター席あり",""
"しちろう","530-0003","大阪府大阪市北区堂島1-4-2 ビールディング北新地5F","050-5786-2811","","","","22席 掘りごたつ席あり カウンター席あり","テーブル個室あり（1室/2名～4名様用/扉・壁あり） 掘りごたつ個室あり（2室/2名～6名様用/扉・壁あり） 掘りごたつ個室あり（1室/6名～11名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"魚彩 和","530-0056","大阪府大阪市北区兎我野町12-15 丸一ホテル1F","050-5785-6993","","","","34席",""
"ぶためし 山ぶた","530-0001","大阪府大阪市北区梅田1-1-3 B2","050-5789-0727","","","","32席 座敷席あり 掘りごたつ席あり カウンター席あり","掘りごたつ個室あり（1室/14名様用/カーテン仕切り） ※個室の詳細はお店にお問い合わせください"
"鉄人の店","530-0057","大阪府大阪市北区曽根崎2-8-12 サンプラザ曽根崎1～3F","050-5787-0960","","http://tetsujinnomise.jp/","","113席 座敷席あり 掘りごたつ席あり","テーブル個室あり（6名～8名様用） 掘りごたつ個室あり（6名～8名様用） 掘りごたつ半個室あり（24名～32名様用） ※個室の詳細はお店にお問い合わせください"
"居楽屋白木屋 中津駅前店","531-0072","大阪府大阪市北区豊崎5-7-9 リップル豊崎ビル1F","06-6375-8488","","http://www.monteroza.co.jp/","","67席",""
"韓国料理 冷麺館 北新地店","530-0002","大阪府大阪市北区曽根崎新地1-5-4 岩伸スプレットビル2F","050-5522-5608","","http://kita-reimenkan.com/","","34席 座敷席あり 掘りごたつ席あり 座椅子あり","掘りごたつ個室あり（2名～11名様用） ※個室の詳細はお店にお問い合わせください"
"隠れ家個室ダイニング 梅田Beer&rsquo;s倶楽部","553-0003","大阪府大阪市福島区福島7-11-51","050-5787-3812","","","","25席 カウンター席あり ソファー席あり","テーブル個室あり（5名～10名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"居楽屋白木屋 阪急梅田茶屋町口駅前店","530-0013","大阪府大阪市北区茶屋町3-2 チロル茶屋町ビル5F","06-6374-5688","","http://www.monteroza.co.jp/","","73席",""
"季節料理 北新地 竹","530-0003","大阪府大阪市北区堂島1-3-39 第2二葉ビル1F","050-5798-0453","","http://kitashinchi-take.jp/","","40席 掘りごたつ席あり カウンター席あり","掘りごたつ個室あり（5室/2名～20名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"海船直送鮮魚 恒雅 北新地","530-0002","大阪府大阪市北区曽根崎新地1-5-32 ボネールビル2F","050-5797-2273","","","","30席 掘りごたつ席あり カウンター席あり カップルシートあり 夜景が見える","掘りごたつ個室あり（30名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"北新地本通り つるとんたん 琴しょう楼","530-0002","大阪府大阪市北区曽根崎新地1-4-20 桜橋IMビルB2","050-5785-7398","","","","112席",""
"蒸し料理専門店 mus 梅田","531-0072","大阪府大阪市北区豊崎3-10-2 I＆F梅田1F","06-6377-6363","","http://www.mus-osaka.jp/index.html","","46席 カウンター席あり",""
"居楽屋白木屋 JR野田駅前店","553-0005","大阪府大阪市福島区野田3-12-21 西川産業第一ビル2・3F","06-6468-3488","","http://www.monteroza.co.jp/","","129席","掘りごたつ個室あり（～12名様用） ※個室の詳細はお店にお問い合わせください"
"かっぽうぎ 梅田センタービル店","530-0015","大阪府大阪市北区中崎西町2-4-12 梅田センタービルB1","050-5789-0532","","http://www.kappougi.jp/","","90席",""
"晴れあいな","553-0006","大阪府大阪市福島区吉野3-1-41","06-6462-5962","","","","37席 座敷席あり 掘りごたつ席あり カウンター席あり","掘りごたつ個室あり（2名～4名様用） 掘りごたつ個室あり（15名～23名様用） ※個室の詳細はお店にお問い合わせください"
"酒と肴 SAI","530-0057","大阪府大阪市北区曽根崎新地1-11-9 京屋ビルB1","050-5785-1943","","","","13席 カウンター席あり",""
"生姜料理 福島 ぬくり","553-0003","大阪府大阪市福島区福島7-7-9","050-5789-8141","","","","26席 カウンター席あり",""
"心たけ","530-0047","大阪府大阪市北区西天満4-11-4","06-6311-3737","","","","100席","テーブル個室あり（2名～20名様用） 掘りごたつ個室あり（2名～10名様用） ※個室の詳細はお店にお問い合わせください"
"北新地 うえはら","530-0003","大阪府大阪市北区堂島1-3-20","050-5798-0989","","http://www.63448899.net/index.html","","20席 座敷席あり 掘りごたつ席あり カウンター席あり","掘りごたつ個室あり（2名～10名様用） 掘りごたつ個室あり（2名～5名様用） ※個室の詳細はお店にお問い合わせください"
"圓石 本店","530-0003","大阪府大阪市北区堂島1-2-2","050-5786-4518","","","","75席 円卓あり","テーブル個室あり（1室/4名～27名様用/扉・壁あり） テーブル個室あり（1室/6名～18名様用/扉・壁あり） テーブル個室あり（1室/4名～10名様用/扉・壁あり） テーブル個室あり（5室/2名～4名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"山内農場 北新地駅前店","530-0002","大阪府大阪市北区曽根崎新地1-8-19 梅新ビル5F","06-6348-9288","","http://www.monteroza.co.jp/","","115席","掘りごたつ個室あり（10名様用～） ※個室の詳細はお店にお問い合わせください"
"minimum Terrace","530-0003","大阪府大阪市北区堂島1-1-20 パールプラザビル2F","050-5798-4055","","","","60席 テラス・屋外席あり","テーブル個室あり（1室/20名様用/パーティション仕切り） テーブル個室あり（1室/10名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"個室和食 酒房うおまん ヨドバシ梅田店","530-0011","大阪府大阪市北区大深町1-1 ヨドバシウメダ8Ｆ","050-5787-7093","","","","110席 座敷席あり 掘りごたつ席あり","テーブル個室あり（4名～14名様用） 掘りごたつ個室あり（4名～24名様用） テーブル個室あり（4名～8名様用） ※個室の詳細はお店にお問い合わせください"
"ＴＥＴＳＵ","530-0027","大阪府大阪市北区堂山町4-14","050-5785-1260","","","","34席",""
"焼鳥と焼野菜 ぎんすけ 中津店","531-0071","大阪府大阪市北区中津1-14-10","050-5785-7574","","","","52席 座敷席あり 掘りごたつ席あり カウンター席あり","テーブル個室あり（1室/6名様用） ※個室の詳細はお店にお問い合わせください"
"北新地 海櫻","530-0003","大阪府大阪市北区堂島1-4-20 第2ロイヤルビルディング1F","06-6344-3831","","http://www.lacima.co.jp/kaioh/","","20席 カウンター席あり","テーブル個室あり（2名～4名様用） テーブル個室あり（4名～6名様用） テーブル個室あり（8名～12名様用） ※個室の詳細はお店にお問い合わせください"
"亀多寿司 本店","530-0057","大阪府大阪市北区曽根崎2-5-25 亀多ビル1～3F","050-5796-2023","","http://www.kita-sushi.net/","","98席",""
"茶屋町 食べ飲み放題 横丁","530-0013","大阪府大阪市北区茶屋町2-16 イースクエア5F","050-5785-2583","","","","500席 座敷席あり カウンター席あり カップルシートあり",""
"旬菜酒肴 天麩羅 田田","530-0003","大阪府大阪市北区堂島1-4-8 広ビル1F-1","050-5786-6137","","","","30席 カウンター席あり","テーブル個室あり（4名～10名様用） テーブル個室あり（2名～4名様用） テーブル個室あり（4名～8名様用） ※個室の詳細はお店にお問い合わせください"
"シダックス 梅田茶屋町クラブ","530-0013","大阪府大阪市北区茶屋町2-16 イースクエア茶屋町2F","050-5785-8189","","http://www.shidax.co.jp/sc/index.html","","527席",""
"炉端 美酒食堂 炉とマタギ 西梅田","530-0003","大阪府大阪市北区堂島3-4-1","050-5797-3698","","","","44席","座敷個室あり（1室/10名～12名様用） テーブル個室あり（2室/6名～10名様用/扉・壁あり） テーブル個室あり（4名～6名様用） ※個室の詳細はお店にお問い合わせください"
"四季彩","531-6023","大阪府大阪市北区大淀中1-1 梅田スカイビルB1","050-5787-2989","","","","78席 カウンター席あり","テーブル個室あり（3室/5名～6名様用/扉・壁あり） テーブル個室あり（1室/7名～12名様用/扉・壁あり） テーブル個室あり（1室/13名～24名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"季節料理 四季彩粋 堂島店","530-0003","大阪府大阪市北区堂島2-1-40 新堂島ビルB1","050-5798-6075","","","","50席 座敷席あり 掘りごたつ席あり","座敷個室あり（6名～7名様用） 座敷個室あり（8名～10名様用） ※個室の詳細はお店にお問い合わせください"
"Eeek－a souk イーカスーク","553-0003","大阪府大阪市福島区福島7-8-7","050-5785-5224","","","","14席",""
"喰人 －EAT MAN－ 梅田本店","530-0012","大阪府大阪市北区芝田1-5-21","050-5513-9952","","","","135席 掘りごたつ席あり","テーブル個室あり（2名～16名様用） テーブル個室あり（15名～25名様用） テーブル個室あり（20名～25名様用） ※個室の詳細はお店にお問い合わせください"
"牛たん焼き 仙台辺見","530-0001","大阪府大阪市北区梅田2-5-25 ハービスPLAZA B2","06-6343-7104","","","","52席 座敷席あり",""
"紙なべ蘆月","530-0002","大阪府大阪市北区曽根崎新地1-7-10 ロゲツビル1F","06-6341-6351","","","","100席 座敷席あり 掘りごたつ席あり 座椅子あり","掘りごたつ個室あり（2名～11名様用） 座敷個室あり（2名～50名様用） テーブル個室あり（4名～20名様用） ※個室の詳細はお店にお問い合わせください"
"玄品ふぐ 梅田東通の関","530-0027","大阪府大阪市北区堂山町4-17","06-6311-0129","","http://www.tettiri.com/","","102席 座敷席あり",""
"鶏皮鶏飯","530-0027","大阪府大阪市北区堂山町5-18","06-6365-5806","","","","58席","テーブル個室あり（12名～20名様用） ※個室の詳細はお店にお問い合わせください"
"美々卯 阪神店","530-0001","大阪府大阪市北区梅田1-13-13 阪神百貨店10F","06-6345-6648","","http://www.mimiu.co.jp/","","92席","テーブル個室あり（8名～36名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"美々卯 梅田ルクア店","530-0001","大阪府大阪市北区梅田3-1-3 ルクアイーレ10F","050-5788-4831","","http://www.mimiu.co.jp/","","64席","テーブル半個室あり（5名～8名様用） ※個室の詳細はお店にお問い合わせください"
"暁 神山店","530-0026","大阪府大阪市北区神山町15-8","050-5789-9420","","","","40席 座敷席あり",""
"モリタ屋 ルクア イーレ店","530-0001","大阪府大阪市北区梅田3-1-3 ルクアイーレ10F","050-5799-6473","","http://www.moritaya-net.com/","m-qfm@mbox.kyoto-inet.or.jp","54席 座敷席あり 掘りごたつ席あり","掘りごたつ個室あり（4名～8名様用） 掘りごたつ個室あり（2名～6名様用） 掘りごたつ個室あり（2名～4名様用） ※個室の詳細はお店にお問い合わせください"
"和牛 まつした","530-0002","大阪府大阪市北区曽根崎新地1-5-9 REXビル6F","050-5799-2592","","","","30席 掘りごたつ席あり","掘りごたつ個室あり（2名～8名様用） ※個室の詳細はお店にお問い合わせください"
"東京純豆腐 大阪マルビル店","530-0001","大阪府大阪市北区梅田1-9-20 大阪マルビルB2","06-4796-7388","","http://www.tokyo-sundubu.net","foodservice@brosandcompany.co.jp","25席",""
"健 HEPナビオ店","530-0017","大阪府大阪市北区角田町7-10 HEPナビオ6F","06-6361-8315","","","","24席",""
"うまか料理が自慢の居酒屋 九州だんじ 梅田茶屋町店","530-0013","大阪府大阪市北区茶屋町2-16 イースクエア茶屋町3F","050-5786-8267","","","","220席 座敷席あり 掘りごたつ席あり カウンター席あり","テーブル個室あり（7室/4名～18名様用/扉・壁あり） テーブル個室あり（9室/4名～8名様用/カーテン仕切り） ※個室の詳細はお店にお問い合わせください"
"やきとり 正や 梅田店","530-0057","大阪府大阪市北区曽根崎１-2-20 大幸ビル1F","050-5788-1397","","","","27席 カウンター席あり","テーブル個室あり（3名～12名様用） ※個室の詳細はお店にお問い合わせください"
"DiningBar VIA","530-0027","大阪府大阪市北区堂山町10-16 Kビル1F","050-5789-9441","","","","30席 カウンター席あり ソファー席あり",""
"西屋","530-0014","大阪府大阪市北区鶴野町4-4B コープ野村梅田","06-6377-0248","","","","24席 座敷席あり 掘りごたつ席あり","掘りごたつ個室あり（2名～10名様用） ※個室の詳細はお店にお問い合わせください"
"かっぽうぎ 中津店","531-0072","大阪府大阪市北区豊崎3-17-12 岡ビル1F","050-5522-5925","","http://www.kappougi.jp/","","120席 座敷席あり 掘りごたつ席あり","掘りごたつ個室あり（3名～6名様用） ※個室の詳細はお店にお問い合わせください"
"焼肉レストラン 明華園","530-0003","大阪府大阪市北区堂島1-4-20","050-5796-3220","","","","69席 座敷席あり カウンター席あり","座敷個室あり（6名～8名様用） 座敷個室あり（16名～20名様用） ※個室の詳細はお店にお問い合わせください"
"玄品ふぐ 福島の関","553-0003","大阪府大阪市福島区福島5-13-6","06-6453-5729","","http://www.tettiri.com/","","32席 座敷席あり",""
"北新地うのあん","530-0003","大阪府大阪市北区堂島1-4-20 第2ロイヤルビルB1","050-5797-4743","","","","40席 座敷席あり 掘りごたつ席あり","掘りごたつ個室あり（2名～4名様用） 掘りごたつ個室あり（5名～8名様用） 掘りごたつ個室あり（～6名様用） 掘りごたつ個室あり（2名～22名様用） テーブル個室あり（2名～6名様用） ※個室の詳細はお店にお問い合わせください"
"かっぽうぎ 堂北店","530-0003","大阪府大阪市北区堂島2-3-2 堂北ビル1F","050-5522-5920","","","","83席","掘りごたつ個室あり（2名～4名様用） テーブル個室あり（2名～6名様用） ※個室の詳細はお店にお問い合わせください"
"玄品ふぐ 曽根崎の関","530-0057","大阪府大阪市北区曽根崎2-13-21 セシボンビルB1","06-6360-7329","","http://www.tettiri.com","","32席 座敷席あり",""
"中之島 なだ万","530-0005","大阪府大阪市北区中之島5-3-68 リーガロイヤルホテルB1","06-6443-7101","","http://www.nadaman.co.jp/","","73席 掘りごたつ席あり カウンター席あり ソファー席あり","テーブル個室あり（2室/5名～12名様用） ※個室の詳細はお店にお問い合わせください"
"個室 のりを 福島店","553-0003","大阪府大阪市福島区福島5-8-14 吉紹ビル8F","050-5798-1196","","","","77席 掘りごたつ席あり","テーブル個室あり（2名～25名様用） ※個室の詳細はお店にお問い合わせください"
"新世界じゃんじゃん 梅田店","530-0027","大阪府大阪市北区堂山町8-8 梅田エイトビル1-2F","050-5786-8271","","","","141席 座敷席あり 掘りごたつ席あり","掘りごたつ個室あり（4名様用） 掘りごたつ個室あり（2名～36名様用） テーブル個室あり（2名～36名様用） ※個室の詳細はお店にお問い合わせください"
"加津屋","553-0003","大阪府大阪市福島区福島8-20-3","06-6451-7739","","","","35席 座敷席あり 座椅子あり カウンター席あり",""
"たんとと和くら ヨドバシ梅田店","530-0011","大阪府大阪市北区大深町1-1 ヨドバシ梅田8F","050-5797-4354","","http://www.tantoto-wakura.com/tenpo.html","","80席",""
"一得 福島店","531-0075","大阪府大阪市北区大淀南3-2-4 アパートメントK&rsquo;s","06-6455-2559","","http://www.bealive.jp","","54席 掘りごたつ席あり カウンター席あり","掘りごたつ個室あり（2名～4名様用） 掘りごたつ個室あり（10名～16名様用） 掘りごたつ個室あり（6名～10名様用） 掘りごたつ個室あり（4名～6名様用） ※個室の詳細はお店にお問い合わせください"
"もつ鍋 福福福屋－ふくみや－ 福島店","553-0003","大阪府大阪市福島区福島8-13-12","06-6455-3563","","","","24席",""
"しゃかりき432゛ 新福島店","553-0003","大阪府大阪市福島区福島3-6-15","050-5522-4026","","","","70席 座敷席あり 座椅子あり カウンター席あり","テーブル個室あり（2室/2名～8名様用/パーティション仕切り） ※個室の詳細はお店にお問い合わせください"
"炭火焼ヤマハチ商店 梅田茶屋町店","530-0013","大阪府大阪市北区茶屋町13-10","050-5786-8266","","","","58席 座敷席あり 掘りごたつ席あり","掘りごたつ個室あり（4名～15名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"四国名物料理 酒友龍馬 梅田東通り店","530-0027","大阪府大阪市北区堂山町6-6 ステージゴールドビル2 1～3F","050-5513-9963","","","","128席 座敷席あり 掘りごたつ席あり","掘りごたつ個室あり（2名～18名様用/扉・壁あり） 掘りごたつ個室あり（2名～12名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"敦煌 北新地本店","530-0002","大阪府大阪市北区曽根崎新地2-2-16 西梅田MIDビルB2","050-5522-4097","","","","96席","テーブル個室あり（2室/2名～8名様用/扉・壁あり） テーブル個室あり（1室/9名～16名様用/扉・壁あり） テーブル個室あり（1室/17名～25名様用/扉・壁あり） テーブル個室あり（1室/51名～65名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"新どおぞの","530-0002","大阪府大阪市北区曽根崎新地1-5-9 REXビル3F","06-6345-5771","","","","19席 掘りごたつ席あり","掘りごたつ個室あり（4名～8名様用） ※個室の詳細はお店にお問い合わせください"
"居酒屋 浄正","553-0003","大阪府大阪市福島区福島5-11-7","050-5798-2831","","","","44席 カウンター席あり","テーブル個室あり（15名～26名様用） ※個室の詳細はお店にお問い合わせください"
"鮨 しら川","530-0002","大阪府大阪市北区曽根崎新地1-9-11 エスパス北新地1F","050-5786-4809","","","","20席 カウンター席あり","テーブル個室あり（1室/2名～8名様用/パーティション仕切り） ※個室の詳細はお店にお問い合わせください"
"はまぐり庵 －吉祥別邸－","530-0012","大阪府大阪市北区芝田1-1-3 阪急三番街南館B2","050-5798-9212","","http://hamagurian.jp/","","75席 座敷席あり 掘りごたつ席あり カウンター席あり ソファー席あり","掘りごたつ個室あり（5室/20名様用） テーブル個室あり（4室/16名様用） ※個室の詳細はお店にお問い合わせください"
"北新地 鳥屋 本店","530-0002","大阪府大阪市北区曽根崎新地1-9-1 プランドールビルB1","050-5522-5904","","http://kitashinchitoriya.com","","30席 座敷席あり カウンター席あり","座敷個室あり（7名～13名様用/カーテン仕切り） ※個室の詳細はお店にお問い合わせください"
"とん彩や 福島店","553-0003","大阪府大阪市福島区福島5-10-13","06-6456-1038","","","","50席 座敷席あり","座敷個室あり（17名～25名様用） テーブル個室あり（17名～25名様用） ※個室の詳細はお店にお問い合わせください"
"食道園 北新地店","530-0002","大阪府大阪市北区曾根崎新地1-6-4","050-5798-1876","","http://syokudoen.co.jp/","","200席 座敷席あり 掘りごたつ席あり","掘りごたつ個室あり（15室/4名～60名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"居酒屋 こがね屋 梅田店","530-0001","大阪府大阪市北区角田町梅田地下街2-5 ホワイティウメダB1ノースモール","050-5799-0356","","http://uoman-group.com/","","39席",""
"焼肉 しゃぶしゃぶ 串八 梅田店","530-0057","大阪府大阪市北区曽根崎2-13-5","050-5798-9515","","","","30席 カウンター席あり",""
"隆膳","553-0003","大阪府大阪市福島区福島6-9-17 レジオン福島1F","06-6454-0009","","","","20席 座敷席あり",""
"曽根崎ホルモン","530-0002","大阪府大阪市北区曽根崎新地1-6-28 北新地ビル2F","06-6341-1716","","","","25席",""
"心斎橋 にし家","530-0011","大阪府大阪市北区大深町4-20 グランフロント大阪 南館7F","06-6359-1248","","","","32席",""
"慶喜","530-0002","大阪府大阪市北区曽根崎新地1-5-2 大川ビル本館2F","050-5789-1113","","","","20席 座敷席あり 掘りごたつ席あり カウンター席あり","座敷個室あり（1室/2名～4名様用/扉・壁あり） 掘りごたつ個室あり（1室/4名～6名様用/扉・壁あり） テーブル個室あり（1室/2名～4名様用/カーテン仕切り） ※個室の詳細はお店にお問い合わせください"
"ちゃんこ ごっつ庵","553-0001","大阪府大阪市福島区海老江1-3-11","06-6458-0230","","","","22席 掘りごたつ席あり",""
"神留","530-0003","大阪府大阪市北区堂島1-3-4 谷安ビル1F","050-5797-3539","","http://homepage2.nifty.com/kantome/","","20席 座敷席あり カウンター席あり","テーブル個室あり（2名～4名様用） 座敷個室あり（2名～12名様用） ※個室の詳細はお店にお問い合わせください"
"かっぽうぎ 芝田店","530-0012","大阪府大阪市北区芝田2-3-22 ホテルランドマーク梅田1F","050-5522-5922","","","","70席",""
"個室和食 うおまん 北新地店","530-0004","大阪府大阪市北区堂島浜1-4-4 アクア堂島フォンターナ1F","050-5788-7590","","http://uoman-group.com/","","58席 掘りごたつ席あり","掘りごたつ個室あり（4室/2名～6名様用/扉・壁あり） 座敷個室あり（4室/2名～12名様用/扉・壁あり） 座敷個室あり（4室/2名～12名様用/パーティション仕切り） ※個室の詳細はお店にお問い合わせください"
"産地直送 金まる屋 北新地","530-0003","大阪府大阪市北区堂島1-4-20 第2ロイヤルビル1F","050-5786-8112","","","","28席 カウンター席あり",""
"味 神田川","530-0002","大阪府大阪市北区曽根崎新地1-1-40 (ジロービル1F)","050-5798-8573","","http://kanndagawa.com/ajikandagawa.html","","15席 座敷席あり 掘りごたつ席あり カウンター席あり","座敷個室あり（2名～4名様用） ※個室の詳細はお店にお問い合わせください"
"割烹むつごろう","530-0002","大阪府大阪市北区曽根崎新地1-10-16 永楽ビル2F","06-6341-0377","06-6341-0377","http://www.mutsugorou.jp/","","21席 掘りごたつ席あり カウンター席あり 夜景が見える","掘りごたつ個室あり（1室/8名様用/扉・壁あり） 掘りごたつ個室あり（2室/4名様用/カーテン仕切り） ※個室の詳細はお店にお問い合わせください"
"OOLUTO","553-0003","大阪府大阪市福島区福島7-5-13","06-6458-6637","","","","25席",""
"どおぞの","530-0002","大阪府大阪市北区曽根崎新地1-5-6 新地VIPビル1F","06-6345-5221","","http://www.doozono.com","","19席 掘りごたつ席あり","掘りごたつ個室あり（3名～10名様用） ※個室の詳細はお店にお問い合わせください"
"とんかつ 串揚げ 堂島かつの","530-0003","大阪府大阪市北区堂島2-1-24 堂島アーバンスクエアB1","06-6347-7088","","","","30席",""
"東北だべさ 梅田東通り店","530-0027","大阪府大阪市北区堂山町6-7 ステージゴールドビル2・3Ｆ","050-5786-8270","","","","210席 座敷席あり 掘りごたつ席あり","掘りごたつ個室あり（4名～100名様用） 掘りごたつ個室あり（2名～30名様用） ※個室の詳細はお店にお問い合わせください"
"はがくれ ラグザ店","553-0003","大阪府大阪市福島区福島5-6-16 ホテル阪神B1 ラグザスクエア","06-6345-3923","","","","60席","掘りごたつ個室あり（2名～12名様用） テーブル個室あり（8名～12名様用） ※個室の詳細はお店にお問い合わせください"
"喰人 －EAT MAN－ 東通り店","530-0018","大阪府大阪市北区小松原町1-19","050-5513-9968","","","","138席 座敷席あり 掘りごたつ席あり","掘りごたつ個室あり（7名様用/カーテン仕切り） ※個室の詳細はお店にお問い合わせください"
"旬の魚と季節のお料理 くすの木 梅田堂島店","530-0003","大阪府大阪市北区堂島2-3-33 堂北山二ビル1F","050-5799-5912","","http://www.o-kusunoki.jp/","","30席 座椅子あり カウンター席あり",""
"北新地 はし本","530-0003","大阪府大阪市北区堂島1-2-23 田園ビル2F","06-6348-9222","","","","20席 掘りごたつ席あり カウンター席あり","掘りごたつ個室あり（1室/6名様用/扉・壁あり） 掘りごたつ個室あり（1室/4名様用/扉・壁あり） 掘りごたつ個室あり（1室/2名様用/扉・壁あり） 掘りごたつ個室あり（1室/12名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"豚の晴れぶたい 東通り店","530-0027","大阪府大阪市北区堂山町5-19 ふるさとビル1F","050-5513-9957","","","","46席 座敷席あり 掘りごたつ席あり",""
"玄","530-0003","大阪府大阪市北区堂島1-2-2 堂栄ビル1F","050-5789-7927","","","","36席","テーブル個室あり（6名～8名様用） ※個室の詳細はお店にお問い合わせください"
"田毎そば","530-0012","大阪府大阪市北区芝田1-1-3 阪急三番街","06-6372-9261","","","","60席",""
"正起屋 阪急三番街店","530-0012","大阪府大阪市北区芝田1-1-3 阪急三番街南館B2","06-6373-3773","","http://www.masakiya-c.com/","","30席",""
